site_id,site_on,site_at,city_id,site_ada_accessible,site_ada_5x8_pad,site_longitude,site_latitude,node_id,site_sign,site_shelter,site_hfn
53698,#1145 SHENANDOAH LANE,ENTRANCE,PLYMOUTH,Y,Y,-93.47656,44.992443,SH11,Y,N,N
44364,#3400 ENTRANCE,PARKLAWN AVE,EDINA,Y,N,-93.323596,44.868231,34PK,Y,N,N
43202,101ST AVE N,BOUNDARY CREEK TERRACE,MAPLE GROVE,Y,N,-93.413297,45.137703,101B,Y,N,N
43204,101ST AVE N,QUAKER LANE,MAPLE GROVE,Y,N,-93.410211,45.137692,,Y,N,N
43185,101ST AVE N,VALLEY FORGE LANE,MAPLE GROVE,Y,N,-93.417326,45.137804,,Y,N,N
43201,101ST AVE N,VALLEY FORGE LANE,MAPLE GROVE,Y,N,-93.417631,45.137698,,Y,N,N
43186,101ST AVE N,ZACHARY LANE,MAPLE GROVE,Y,N,-93.421927,45.137795,,Y,N,N
52197,102ND ST E,4TH AVE S,BLOOMINGTON,Y,N,-93.271064,44.819008,,Y,N,N
484,102ND ST E,CLINTON AVE S,BLOOMINGTON,Y,N,-93.271943,44.81911,,Y,N,N
1413,102ND ST E,NICOLLET AVE S,BLOOMINGTON,Y,N,-93.278628,44.818998,,Y,N,N
52198,102ND ST E,PORTLAND AVE S,BLOOMINGTON,Y,N,-93.268539,44.819014,,Y,N,N
485,102ND ST E,PORTLAND AVE S,BLOOMINGTON,Y,N,-93.26869,44.819115,,Y,N,N
52196,102ND ST E,STEVENS AVE / 2ND AVE S,BLOOMINGTON,Y,N,-93.275355,44.819006,1022,Y,N,N
486,102ND ST E,STEVENS AVE S,BLOOMINGTON,Y,N,-93.275856,44.819107,1022,Y,N,N
1725,102ND ST W,ABBOTT AVE S,BLOOMINGTON,Y,N,-93.323391,44.819149,,Y,N,N
1635,102ND ST W,ABBOTT AVE S,BLOOMINGTON,Y,N,-93.323137,44.819251,,Y,N,N
1636,102ND ST W,BEARD AVE S,BLOOMINGTON,Y,N,-93.324856,44.819252,,Y,N,N
50027,102ND ST W,BLAISDELL AVE S,BLOOMINGTON,Y,N,-93.279708,44.8191,,Y,N,N
1723,102ND ST W,CHOWEN AVE S,BLOOMINGTON,Y,N,-93.325754,44.819153,,Y,N,N
1638,102ND ST W,DREW AVE S,BLOOMINGTON,Y,N,-93.326772,44.819269,,Y,N,N
1722,102ND ST W,DREW AVE S,BLOOMINGTON,Y,N,-93.327046,44.819175,,Y,N,N
1639,102ND ST W,FRANCE AVE S,BLOOMINGTON,Y,N,-93.329386,44.819297,10FR,Y,N,N
1721,102ND ST W,FRANCE AVE S,BLOOMINGTON,Y,N,-93.32964,44.819192,10FR,Y,N,N
1409,102ND ST W,GRAND AVE S,BLOOMINGTON,Y,N,-93.28495,44.819002,,Y,N,N
42511,102ND ST W,HARRIET AVE S,BLOOMINGTON,Y,N,-93.285961,44.819109,,Y,N,N
1408,102ND ST W,HARRIET AVE S,BLOOMINGTON,Y,N,-93.286215,44.819004,,Y,N,N
1719,102ND ST W,HARRISON RD,BLOOMINGTON,Y,N,-93.33279,44.819183,,Y,N,N
1641,102ND ST W,HARRISON RD,BLOOMINGTON,Y,N,-93.332536,44.819288,,Y,N,N
1643,102ND ST W,JOHNSON AVE S,BLOOMINGTON,Y,N,-93.335535,44.819276,,Y,N,N
1718,102ND ST W,JOHNSON AVE S,BLOOMINGTON,Y,N,-93.334725,44.819174,,Y,N,N
50079,102ND ST W,LITTLE RD / NORD AVE,BLOOMINGTON,Y,Y,-93.339518,44.819259,,Y,N,N
42510,102ND ST W,LYNDALE AVE S,BLOOMINGTON,Y,N,-93.288482,44.819106,,Y,N,N
42518,102ND ST W,LYNDALE AVE S,BLOOMINGTON,Y,N,-93.288377,44.819002,,Y,N,N
50078,102ND ST W,NORD AVE / LITTLE RD,BLOOMINGTON,Y,Y,-93.339517,44.819155,,Y,N,N
1716,102ND ST W,NORD AVE S,BLOOMINGTON,Y,N,-93.341487,44.81914,,Y,N,N
1645,102ND ST W,NORD AVE S,BLOOMINGTON,Y,N,-93.341222,44.819246,,Y,N,N
1649,102ND ST W,NORMANDALE BLVD,BLOOMINGTON,Y,N,-93.350202,44.818963,,Y,N,N
42513,102ND ST W,PLEASANT AVE S,BLOOMINGTON,Y,N,-93.28344,44.819107,,Y,N,N
1646,102ND ST W,RICH RD,BLOOMINGTON,Y,N,-93.343164,44.819226,,Y,N,N
1715,102ND ST W,RICH RD,BLOOMINGTON,Y,N,-93.343434,44.819126,,Y,N,N
1647,102ND ST W,SCARBOROUGH RD,BLOOMINGTON,Y,N,-93.34614,44.819194,,Y,N,N
1714,102ND ST W,SCARBOROUGH RD,BLOOMINGTON,Y,N,-93.346074,44.819099,,Y,N,N
1648,102ND ST W,TOLEDO CIRCLE,BLOOMINGTON,Y,N,-93.348118,44.819175,,Y,N,N
1713,102ND ST W,TOLEDO CIRCLE,BLOOMINGTON,Y,N,-93.348341,44.819073,,Y,N,N
1411,102ND ST W,WENTWORTH AVE S,BLOOMINGTON,Y,N,-93.281257,44.818997,,Y,N,N
1633,102ND ST W,YORK LANE,BLOOMINGTON,Y,N,-93.320338,44.819221,,Y,N,N
1727,102ND ST W,YORK LANE,BLOOMINGTON,Y,N,-93.320592,44.819121,,Y,N,N
482,104TH ST E,4TH AVE S,BLOOMINGTON,Y,N,-93.271101,44.815367,,Y,N,N
40181,104TH ST E,4TH AVE S,BLOOMINGTON,Y,N,-93.270847,44.815472,,Y,N,N
52199,104TH ST E,HOLY EMMANUEL CHURCH,BLOOMINGTON,Y,N,-93.275149,44.815478,,Y,N,N
21386,104TH ST E,HOLY EMMANUEL CHURCH,BLOOMINGTON,Y,N,-93.274073,44.815374,,Y,N,N
51889,104TH ST E,NICOLLET AVE S,BLOOMINGTON,Y,Y,-93.278395,44.815481,,Y,N,N
41541,104TH ST W,BLOOMINGTON FRWY RD,BLOOMINGTON,N,N,-93.292269,44.815436,10BL,Y,N,N
1397,104TH ST W,DEVONSHIRE RD,BLOOMINGTON,Y,N,-93.294231,44.815439,,Y,N,N
1399,104TH ST W,HUMBOLDT AVE S,BLOOMINGTON,Y,N,-93.298632,44.815326,,Y,N,N
40303,105TH AVE NE,6TH ST NE,BLAINE,Y,N,-93.26485,45.160845,,Y,N,N
40304,105TH AVE NE,6TH ST NE,BLAINE,Y,N,-93.265086,45.160743,,Y,N,N
40306,105TH AVE NE,7TH ST NE,BLAINE,Y,N,-93.26381,45.160743,,Y,N,N
40305,105TH AVE NE,7TH ST NE,BLAINE,Y,N,-93.263539,45.160845,,Y,N,N
40307,105TH AVE NE,JEFFERSON ST NE,BLAINE,Y,N,-93.255919,45.162753,,Y,N,N
40309,105TH AVE NE,PRESIDENT DR NE,BLAINE,Y,N,-93.262538,45.160724,,Y,N,N
40308,105TH AVE NE,PRESIDENT DR NE,BLAINE,Y,N,-93.262283,45.160837,,Y,N,N
40310,105TH AVE NE,TERRACE RD NE,BLAINE,Y,N,-93.260783,45.161077,,Y,N,N
40311,105TH AVE NE,TERRACE RD NE,BLAINE,Y,N,-93.260945,45.160917,,Y,N,N
40312,105TH AVE NE,UNIVERSITY AVE,BLAINE,Y,N,-93.266134,45.160853,,Y,N,N
40313,105TH AVE NE,UNIVERSITY AVE,BLAINE,Y,N,-93.266133,45.160749,,Y,N,N
40315,105TH AVE NE,WASHINGTON BLVD NE,BLAINE,Y,N,-93.259076,45.161778,,Y,N,N
40314,105TH AVE NE,WASHINGTON BLVD NE,BLAINE,Y,N,-93.258945,45.161989,,Y,N,N
1393,106TH ST,LYNDALE AVE / BLOOMINGTON FRWY R,BLOOMINGTON,Y,N,-93.289711,44.811922,,Y,N,N
1704,106TH ST W,ALABAMA CIRCLE,BLOOMINGTON,Y,N,-93.360138,44.811005,,Y,N,N
1658,106TH ST W,BRUNSWICK RD,BLOOMINGTON,Y,N,-93.360875,44.811093,10BR,Y,N,N
1403,106TH ST W,LYNDALE AVE S,BLOOMINGTON,Y,N,-93.288743,44.81182,,Y,N,N
1705,106TH ST W,NESBITT AVE S,BLOOMINGTON,Y,N,-93.35849,44.810777,,Y,N,N
